"","X.1","X","ID","ParasiteReportedName","HostReportedName","Citation","LocationName","TotalPrevalence","ParasiteCorrectedName","HostCorrectedName_Corbet","pargenera","sp","nonsp_in_gen","colsp"
"1",5,5,8771,"STLV","Allenopithecus nigroviridis","Ahuka-Mundeke et al. 2017","Mbandaka","0.409","Deltaretrovirus sp.","Allenopithecus_nigroviridis","Deltaretrovirus","sp.",FALSE,TRUE
"2",29,29,2390,"Cebidicola sp.","Alouatta belzebul","Stuart et al. 1998","UNKNOWN","NULL","Cebidicola sp.","Alouatta_belzebul","Cebidicola","sp.",FALSE,TRUE
"3",37,37,7935,"Pseudomonas sp.","Alouatta belzebul","Menezes-Costa et al. 2013","Tucurui","0.181","Pseudomonas sp.","Alouatta_belzebul","Pseudomonas","sp.",FALSE,TRUE
"4",48,48,2427,"Amblyomma sp.","Alouatta caraya","Stuart et al. 1998","ARGENTINA","0.012","Amblyomma sp.","Alouatta_caraya","Amblyomma","sp.",FALSE,TRUE
"5",71,71,2442,"Chilomastix sp.","Alouatta caraya","Stuart et al. 1998","UNKNOWN","NULL","Chilomastix sp.","Alouatta_caraya","Chilomastix","sp.",FALSE,TRUE
"6",78,78,2443,"Entamoeba sp.","Alouatta caraya","Stuart et al. 1998","BRAZIL","NULL","Entamoeba sp.","Alouatta_caraya","Entamoeba","sp.",FALSE,TRUE
"7",93,93,10393,"Mycoplasma sp.","Alouatta caraya","Cubilla et al. 2017","Bela Vista","1","Mycoplasma sp.","Alouatta_caraya","Mycoplasma","sp.",FALSE,TRUE
"8",131,131,7937,"Pseudomonas sp.","Alouatta caraya","Menezes-Costa et al. 2013","Chapada dos Guimaraes","0.175","Pseudomonas sp.","Alouatta_caraya","Pseudomonas","sp.",FALSE,TRUE
"9",137,137,8231,"Strongyloides sp.","Alouatta caraya","Santa Cruz et al. 2000","San Cayetano","NULL","Strongyloides sp.","Alouatta_caraya","Strongyloides","sp.",FALSE,TRUE
"10",138,138,8232,"Strongyloides sp.","Alouatta caraya","Santa Cruz et al. 2000","Ituzaingo","NULL","Strongyloides sp.","Alouatta_caraya","Strongyloides","sp.",FALSE,TRUE
"11",144,144,2447,"Trichomonas sp.","Alouatta caraya","Stuart et al. 1998","BRAZIL","NULL","Trichomonas sp.","Alouatta_caraya","Trichomonas","sp.",FALSE,TRUE
"12",284,284,9662,"Balantidium sp.","Alouatta palliata aequatorialis","Helenbrook et al. 2015b ","Bilsa","0.094","Balantidium sp.","Alouatta_palliata","Balantidium","sp.",FALSE,TRUE
"13",285,285,8078,"Blastocystis","Alouatta palliata aequatorialis","Helenbrook et al. 2015","Bilsa","0.604","Blastocystis sp.","Alouatta_palliata","Blastocystis","sp.",FALSE,TRUE
"14",286,286,9663,"Blastocystis sp.","Alouatta palliata aequatorialis","Helenbrook et al. 2015b ","Bilsa","0.604","Blastocystis sp.","Alouatta_palliata","Blastocystis","sp.",FALSE,TRUE
"15",287,287,9668,"Capillaria sp.","Alouatta palliata aequatorialis","Helenbrook et al. 2015b ","Bilsa","0.781","Capillaria sp.","Alouatta_palliata","Capillaria","sp.",FALSE,TRUE
"16",232,232,2469,"Chilomastix sp.","Alouatta palliata","Stuart et al. 1998","PANAMA","0.12","Chilomastix sp.","Alouatta_palliata","Chilomastix","sp.",FALSE,TRUE
"17",288,288,9664,"Chilomastix sp.","Alouatta palliata aequatorialis","Helenbrook et al. 2015b ","Bilsa","0.042","Chilomastix sp.","Alouatta_palliata","Chilomastix","sp.",FALSE,TRUE
"18",240,240,7207,"Cyclospora sp.","Alouatta palliata","Gonzalez-Hernandez 2011","Macuspana","0.029","Cyclospora sp.","Alouatta_palliata","Cyclospora","sp.",FALSE,TRUE
"19",290,290,9660,"Cyclospora sp.","Alouatta palliata aequatorialis","Helenbrook et al. 2015b ","Bilsa","0.177","Cyclospora sp.","Alouatta_palliata","Cyclospora","sp.",FALSE,TRUE
"20",292,292,9667,"Enterobius sp.","Alouatta palliata aequatorialis","Helenbrook et al. 2015b ","Bilsa","0.031","Enterobius sp.","Alouatta_palliata","Enterobius","sp.",FALSE,TRUE
"21",244,244,2471,"Giardia sp.","Alouatta palliata","Stuart et al. 1998","PANAMA","0.5","Giardia sp.","Alouatta_palliata","Giardia","sp.",FALSE,TRUE
"22",293,293,9666,"Iodamoeba sp.","Alouatta palliata aequatorialis","Helenbrook et al. 2015b ","Bilsa","0.052","Iodamoeba sp.","Alouatta_palliata","Iodamoeba","sp.",FALSE,TRUE
"23",266,266,2475,"Retortamonas sp.","Alouatta palliata","Stuart et al. 1998","PANAMA","0.12","Retortamonas sp.","Alouatta_palliata","Retortamonas","sp.",FALSE,TRUE
"24",268,268,8116,"Strongyloides sp.","Alouatta palliata","Maldonado-Lopez et al. 2014","Guancaste Conservation Area","0.51","Strongyloides sp.","Alouatta_palliata","Strongyloides","sp.",FALSE,TRUE
"25",269,269,8117,"Strongyloides sp.","Alouatta palliata","Maldonado-Lopez et al. 2014","Guancaste Conservation Area","0.43","Strongyloides sp.","Alouatta_palliata","Strongyloides","sp.",FALSE,TRUE
"26",295,295,9669,"Strongyloides sp.","Alouatta palliata aequatorialis","Helenbrook et al. 2015b ","Bilsa","0.875","Strongyloides sp.","Alouatta_palliata","Strongyloides","sp.",FALSE,TRUE
"27",331,331,8978,"Strongyloides sp.","Alouatta palliata mexicana","Cristobal-Azkarate et al 2010","Los Tuxtlas","0.917","Strongyloides sp.","Alouatta_palliata","Strongyloides","sp.",FALSE,TRUE
"28",332,332,8979,"Strongyloides sp.","Alouatta palliata mexicana","Cristobal-Azkarate et al 2010","Los Tuxtlas","0.833","Strongyloides sp.","Alouatta_palliata","Strongyloides","sp.",FALSE,TRUE
"29",333,333,8980,"Strongyloides sp.","Alouatta palliata mexicana","Cristobal-Azkarate et al 2010","Los Tuxtlas","1","Strongyloides sp.","Alouatta_palliata","Strongyloides","sp.",FALSE,TRUE
"30",271,271,2477,"Trichomonas sp.","Alouatta palliata","Stuart et al. 1998","PANAMA","0.75","Trichomonas sp.","Alouatta_palliata","Trichomonas","sp.",FALSE,TRUE
"31",521,521,2498,"Balantidium sp.","Alouatta seniculus","Stuart et al. 1998","UNKNOWN","NULL","Balantidium sp.","Alouatta_seniculus","Balantidium","sp.",FALSE,TRUE
"32",532,532,3955,"Entamoeba sp.","Alouatta seniculus","de Thoisy et al. 2001","Petit Saut","0.583","Entamoeba sp.","Alouatta_seniculus","Entamoeba","sp.",FALSE,TRUE
"33",534,534,3956,"Enteromonas sp.","Alouatta seniculus","de Thoisy et al. 2001","Petit Saut","0.083","Enteromonas sp.","Alouatta_seniculus","Enteromonas","sp.",FALSE,TRUE
"34",541,541,3962,"Mansonella sp.","Alouatta seniculus","de Thoisy et al. 2001","Petit Saut","NULL","Mansonella sp.","Alouatta_seniculus","Mansonella","sp.",FALSE,TRUE
"35",538,538,3971,"Haemobartonella sp.","Alouatta seniculus","de Thoisy et al. 2001","Petit Saut","NULL","Mycoplasma sp.","Alouatta_seniculus","Mycoplasma","sp.",FALSE,TRUE
"36",561,561,2059,"spiruid","Alouatta seniculus","Gilbert K., pers. comm.","UNKNOWN","NULL","Spirura sp.","Alouatta_seniculus","Spirura","sp.",FALSE,TRUE
"37",562,562,3957,"Strongyloides","Alouatta seniculus","de Thoisy et al. 2001","Petit Saut","0.375","Strongyloides sp.","Alouatta_seniculus","Strongyloides","sp.",FALSE,TRUE
"38",563,563,7030,"Strongyloides sp.","Alouatta seniculus","Phillips et al. 2004","Tampobata Research Center","0.313","Strongyloides sp.","Alouatta_seniculus","Strongyloides","sp.",FALSE,TRUE
"39",569,569,4002,"Trichostrongylus sp.","Alouatta seniculus","de Thoisy et al. 2001","Petit Saut","0.042","Trichostrongylus sp.","Alouatta_seniculus","Trichostrongylus","sp.",FALSE,TRUE
"40",350,350,7855,"Ascaris sp.","Alouatta pigra","Kowalzik et al. 2010","Monkey River","NULL","Ascaris sp.","Alouatta_villosa","Ascaris","sp.",FALSE,TRUE
"41",351,351,3879,"Blastocystis sp.","Alouatta pigra","Stoner and Gonzalez Di Pierro 2006","Biosfera Montes Azules","0.65","Blastocystis sp.","Alouatta_villosa","Blastocystis","sp.",FALSE,TRUE
"42",410,410,3885,"Enterobius sp.","Alouatta pigra","Stoner and Gonzalez Di Pierro 2006","Biosfera Montes Azules","0.02","Enterobius sp.","Alouatta_villosa","Enterobius","sp.",FALSE,TRUE
"43",429,429,3883,"Isospora sp.","Alouatta pigra","Stoner and Gonzalez Di Pierro 2006","Biosfera Montes Azules","0.1","Isospora sp.","Alouatta_villosa","Isospora","sp.",FALSE,TRUE
"44",437,437,8822,"Parabronema sp.","Alouatta pigra","Martinez-Mota et al. 2017","Escarcega","0.007","Parabronema sp.","Alouatta_villosa","Parabronema","sp.",FALSE,TRUE
"45",439,439,5724,"Raillietina sp.","Alouatta pigra","Trejo-Macias et al. 2007","Calakmul","0.035","Raillietina sp.","Alouatta_villosa","Raillietina","sp.",FALSE,TRUE
"46",440,440,5725,"Raillietina sp.","Alouatta pigra","Trejo-Macias et al. 2007","Palenque","0.035","Raillietina sp.","Alouatta_villosa","Raillietina","sp.",FALSE,TRUE
"47",441,441,5726,"Raillietina sp.","Alouatta pigra","Trejo-Macias et al. 2007","Montes Azules","0.044","Raillietina sp.","Alouatta_villosa","Raillietina","sp.",FALSE,TRUE
"48",443,443,5734,"Raillietina sp.","Alouatta pigra","Trejo-Macias et al. 2007","MEXICO","0.045","Raillietina sp.","Alouatta_villosa","Raillietina","sp.",FALSE,TRUE
"49",447,447,5749,"Raillietina sp.","Alouatta pigra","Trejo-Macias et al. 2007","Calakmul","0.125","Raillietina sp.","Alouatta_villosa","Raillietina","sp.",FALSE,TRUE
"50",451,451,5753,"Raillietina sp.","Alouatta pigra","Trejo-Macias et al. 2007","Montes Azules","0.067","Raillietina sp.","Alouatta_villosa","Raillietina","sp.",FALSE,TRUE
"51",455,455,5769,"Raillietina sp.","Alouatta pigra","Trejo-Macias et al. 2007","UNKNOWN","0.125","Raillietina sp.","Alouatta_villosa","Raillietina","sp.",FALSE,TRUE
"52",6,6,9753,"Strongyloides sp.","Alouatta pigra","Solorzano-Garcia and Perez-Ponce de Leon 2017","Lacandona","0.04","Strongyloides sp.","Alouatta_villosa","Strongyloides","sp.",FALSE,TRUE
"53",456,456,3880,"Strongyloides sp.","Alouatta pigra","Stoner and Gonzalez Di Pierro 2006","Biosfera Montes Azules","0.45","Strongyloides sp.","Alouatta_villosa","Strongyloides","sp.",FALSE,TRUE
"54",461,461,3884,"Trichostrongyloides sp.","Alouatta pigra","Stoner and Gonzalez Di Pierro 2006","Biosfera Montes Azules","0.02","Trichostrongyloidea sp.","Alouatta_villosa","Trichostrongyloidea","sp.",FALSE,TRUE
"55",466,466,7854,"Trichostrongylus sp.","Alouatta pigra","Kowalzik et al. 2010","Monkey River","NULL","Trichostrongylus sp.","Alouatta_villosa","Trichostrongylus","sp.",FALSE,TRUE
