LocationName,Status,Resolution,Coordinates,LatitudeDecimal,LongitudeDecimal,Nation,ProvinceState,DistrictCounty,CityTown,Biome,ContinentOcean,ParkReserveName,Altitude,Rainfall,Temperature,Notes,Accuracy,Extent_km2,TimeAdded
Abuko,NULL,SL,NULL,13.3897,-16.6525,"The Gambia",NULL,"Kombo North",Banjul,NULL,Africa,NULL,NULL,NULL,NULL,"Google maps: Abuko nature reserve",2,2,"2019-11-07 20:39:37"
Accra,NULL,SL,NULL,5.55,-0.2166,Ghana,NULL,NULL,Accra,NULL,Africa,0,0,0,NULL,"; ACME Mapper 2.0: Accra",2,2,"2019-11-07 21:13:56"
AFRICA,NULL,O,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Africa,0,0,0,NULL,"continent; not relevant",4,4,"2019-12-05 20:14:51"
"Aguas Frias",NULL,SL,"08° 25' 00" N; 080° 20' 00" W",8.41,-80.33,Panama,NULL,NULL,NULL,NULL,NorthAmerica,0,0,0,NULL,"; Geonames: Aguas Frias PPL alternate for Agua Fria; matches map in references",2,2,"2011-07-06 21:37:21"
Akanyaru,NULL,SL,"02° 04' 32" S; 030° 01' 04" E",-2.07,30.01,Rwanda,NULL,NULL,NULL,NULL,Africa,0,0,0,NULL,"; Geonames: Akanyaru STM, only entry, didn't restrict to Rwanda",2,2,"2011-07-06 21:37:30"
"AL field site",NULL,SL,NULL,3.5,13.7,Cameroon,[Null],NULL,NULL,NULL,Africa,NULL,NULL,NULL,NULL,"Determined coordinates by comparing source map to googlemaps",2,2,"2012-09-18 18:14:37"
Al-Akhal,NULL,SL,"23° 18' 56" N; 039° 51' 34" E",23.31,39.85,"Saudi Arabia",NULL,NULL,NULL,NULL,Eurasia,1,0,0,NULL,"this seems to be the only popln that is truly wild, but still not a preserve (farming); Geonames: Al-Akhal",2,2,"2011-07-06 21:40:09"
Al-Baha,NULL,SL,"20° 00' 00" N; 041° 30' 00" E",20,41.5,"Saudi Arabia",NULL,NULL,NULL,NULL,Eurasia,0,2225,450,NULL,"; rainfall is mm; Geonames: Al-Baha ADM1 alternate name, only exact match; listed as locality because matches closely map in primary reference",2,2,"2011-07-07 19:26:42"
Al-Rihat,NULL,SL,"22° N; 40° E",34.23,-5.63,Morocco,NULL,NULL,NULL,NULL,Africa,,0,0,NULL,"Acmemapper 2.0,Al-Rihat",2,2,"2011-07-07 19:26:47"
Al-Taif,NULL,SL,"21° 16'13" N; 040° 24' 57" E",21.27,40.4,"Saudi Arabia",NULL,NULL,NULL,NULL,Eurasia,1,0,0,NULL,":Acmemapper 2.0 Al-Taif",2,2,"2011-07-07 19:26:53"
Allahabad,NULL,SL,"25° 27' 00" N; 081° 51' 00" E",25.45,81.85,India,NULL,NULL,NULL,NULL,Eurasia,1,0,0,NULL,"Acmemapper 2.0,Allahabad",2,2,"2011-07-07 19:26:58"
"Alto Magdalena",NULL,P,"04° 00' 00" N; 072° 00' 00" W",30.74,-112.14,Mexico,NULL,NULL,NULL,NULL,SouthAmerica,0,0,0,NULL,"Acmemapper 2.0,Alto magdalena",2,2,"2020-01-14 20:42:00"
"AM field site",NULL,SL,NULL,1.2,23.7,"Democratic Republic of Congo",NULL,NULL,NULL,NULL,Africa,NULL,NULL,NULL,NULL,"see Figure 1",2,2,"2019-12-03 19:00:49"
Amakhala,NULL,SL,,-33.5365,26.0883,"South Africa","Eastern Cape",,,NULL,NULL,"Amakhala Game Reserve",NULL,NULL,NULL,,1,3,"2020-08-23 22:25:26"
Amazon,NULL,P,"01° 54' 30" S; 055° 31' 08" W",-1.908,-55.52,Brazil,NULL,NULL,NULL,NULL,SouthAmerica,0,0,0,NULL,"river, basin; Geonames: Obidos, Brazil, PPL.  Used this because on Amazon river, approx 1/2 way to source",3,2,"2011-07-07 19:27:14"
"Amazon Basin",NULL,O,NULL,-3,-60,Brazil,,,,NULL,NULL,,NULL,NULL,NULL,"No specificity in 1966 paper, Amazon Basin covers 6,300,000 km2 
Central location for cordinates used on Google maps: Amazon River",4,4,"2020-01-14 21:16:24"
"Amazon Headwaters",NULL,P,"03° 22' 00" S; 064° 42' 00" W",-3.367,-64.7,Brazil,NULL,NULL,NULL,NULL,SouthAmerica,0,0,0,NULL,"river; Geonames: Tefe, Brazil PPL. Used this as one of the most distant towns on Amazon, where headwaters presumably begin, but can only be approximate",3,2,"2011-07-07 19:27:19"
Amazonas,NULL,P,"05° 00' 00" S; 063° 00' 00" W",-3.42,-65.86,Brazil,NULL,NULL,NULL,NULL,SouthAmerica,0,0,0,NULL,";Acmemapper 2.0: Amazonas ",2,2,"2011-07-07 19:27:24"
