,Unnamed: 0,HostCorrectedName,ParasiteCorrectedName,Arthropod,Bacteria,Protozoa,Fungus,Virus,Helminth,NoEntry,Vector,Direct,Indirect,Sexual,Vertical,CloseT,Nonclose,Intermediate,WtAvgPrevalence,Citation,Parasite_type,transmission_type
0,0,Allenopithecus nigroviridis,Deltaretrovirus sp.,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0.409,1,Virus,Direct-Sexual-Vertical-CloseT
1,1,Allenopithecus nigroviridis,Lentivirus Simian immunodeficiency virus,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0.045,1,Virus,Direct-Sexual-Vertical-CloseT
2,2,Allenopithecus nigroviridis,Orthopoxvirus monkeypox,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,,1,Virus,Direct-CloseT
3,3,Allenopithecus nigroviridis,Paracoroptes allenopitheci,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,,1,Arthropod,Direct-CloseT
4,4,Alouatta belzebul,Alouattamyia baeri,2,0,0,0,0,0,0,0,2,0,0,0,0,2,0,,2,Arthropod,Direct-Nonclose
5,5,Alouatta belzebul,Alphavirus Mayaro virus,0,0,0,0,2,0,0,2,0,2,0,0,0,0,0,1,2,Virus,Vector-Indirect
6,6,Alouatta belzebul,Ascaris elongata,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,,1,Helminth,Direct-Nonclose
7,7,Alouatta belzebul,Cebidicola sp.,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,,1,Arthropod,Direct-CloseT
8,8,Alouatta belzebul,Flavivirus Yellow Fever,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,Virus,Vector-Indirect
9,9,Alouatta belzebul,Mathevotaenia megastoma,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,,1,Helminth,Indirect-Intermediate
10,10,Alouatta belzebul,Plasmodium brasilianum,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0.139,1,Protozoa,Vector-Indirect
11,11,Alouatta belzebul,Pseudomonas sp.,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0.181,1,Bacteria,Direct-Indirect
12,12,Alouatta belzebul,Trypanosoma minasense,0,0,2,0,0,0,0,2,0,2,0,0,0,0,0,,2,Protozoa,Vector-Indirect
13,13,Alouatta belzebul,Trypanosoma mycetae,0,0,3,0,0,0,0,3,0,3,0,0,0,0,0,0.059,3,Protozoa,Vector-Indirect
14,14,Alouatta caraya,Amblyomma sp.,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0.012,1,Arthropod,Direct-Indirect-Nonclose
15,15,Alouatta caraya,Ancylostoma quadridentata,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,,1,Helminth,Direct-Nonclose
16,16,Alouatta caraya,Ascaris lumbricoides,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,,1,Helminth,Direct-Nonclose
17,17,Alouatta caraya,Balantidium aragaoi,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,,1,Protozoa,Direct-CloseT-Nonclose
18,18,Alouatta caraya,Bertiella mucronata,0,0,0,0,0,10,0,0,0,10,0,0,0,0,10,0.07097037,3,Helminth,Indirect-Intermediate
19,19,Alouatta caraya,Cebalges gaudi,2,0,0,0,0,0,0,0,0,0,0,0,2,2,0,,1,Arthropod,CloseT-Nonclose
20,20,Alouatta caraya,Cebidicola semiarmatus,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,,1,Arthropod,Direct-CloseT
21,21,Alouatta caraya,Chilomastix sp.,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,,1,Protozoa,Direct
22,22,Alouatta caraya,Dipetalonema gracile,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,,1,Helminth,Vector-Indirect
23,23,Alouatta caraya,Entamoeba sp.,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,,1,Protozoa,Direct
24,24,Alouatta caraya,Flavivirus St. Louis encephalitis,0,0,0,0,3,0,0,3,0,3,0,0,0,0,0,0.152,1,Virus,Vector-Indirect
25,25,Alouatta caraya,Flavivirus Yellow Fever,0,0,0,0,5,0,0,5,0,5,0,0,0,0,0,,2,Virus,Vector-Indirect
26,26,Alouatta caraya,Giardia intestinalis,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,,1,Protozoa,Direct-Nonclose
27,27,Alouatta caraya,Longistriata dubia,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,,1,Helminth,Direct-Nonclose
28,28,Alouatta caraya,Mathevotaenia megastoma,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,,1,Helminth,Indirect-Intermediate
29,29,Alouatta caraya,Moniezia rugosa,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,,1,Helminth,Indirect-Intermediate
30,30,Alouatta caraya,Mycoplasma sp.,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,Bacteria,
31,31,Alouatta caraya,Orthobunyavirus Caraparu orthobunyavirus,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,,1,Virus,Vector-Indirect
32,32,Alouatta caraya,Orthopoxvirus monkeypox,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0.481,1,Virus,Direct-CloseT
33,33,Alouatta caraya,Pediculus mjobergi,10,0,0,0,0,0,0,0,10,0,0,0,10,0,0,0.386930636,4,Arthropod,Direct-CloseT
34,34,Alouatta caraya,Plasmodium brasilianum,0,0,4,0,0,0,0,4,0,4,0,0,0,0,0,0.092304419,2,Protozoa,Vector-Indirect
35,35,Alouatta caraya,Plasmodium falciparum,0,0,5,0,0,0,0,5,0,5,0,0,0,0,0,0.084050701,1,Protozoa,Vector-Indirect
36,36,Alouatta caraya,Plasmodium vivax,0,0,5,0,0,0,0,5,0,5,0,0,0,0,0,0.08699137,1,Protozoa,Vector-Indirect
37,37,Alouatta caraya,Pseudomonas sp.,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0.175,1,Bacteria,Direct-Indirect
38,38,Alouatta caraya,Raillietina demerariensis,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,,1,Helminth,Indirect-Intermediate
39,39,Alouatta caraya,Retortamonas intestinalis,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,,1,Protozoa,Direct-CloseT-Nonclose
