"","HostCorrectedName","bodymass_kg","mean_groupsize","mean_dayrange_meters","homerange_ha","social_time","SSD","diel_activity","habitat_category","locomotion","mating_system","trophic_folivore","trophic_Omnivore","realm","iucn"
"1","Papio_cynocephalus",15.025,65,5150,1654.2,12.19,1.702702703,"diurnal","forest_savanna_shrubland","terrestrial","multimale-multifemale","Non-Folivore","Other","M_Africa","least concern"
"2","Varecia_variegata",3.4075,8.7075,1041.658,76.544,4.782222222,1.027181688,"diurnal","forest","arboreal","monogamy","Non-Folivore","Other","Madagascar","endangered"
"3","Macaca_fascicularis",4.03,38.525,1602.9,95,10.7,1.50621118,"diurnal","forest_wetlands","arboreal","multimale-multifemale","Non-Folivore","Other","Asia","least concern"
"4","Saguinus_oedipus",0.45,3.383333333,2061,25.8,12.7,0.992222222,"diurnal","forest","arboreal","monogamy","Non-Folivore","Omnivore/Insectivore","Neotropics","least concern"
"5","Pan_troglodytes",53.7,48.44416667,2225,1916.47,14.05,1.265822785,"diurnal","forest_savanna","both","multimale-multifemale","Non-Folivore","Omnivore/Insectivore","M_Africa","endangered"
"6","Pan_troglodytes",53.7,48.44416667,2225,1916.47,14.05,1.265822785,"diurnal","forest_savanna","both","multimale-multifemale","Non-Folivore","Omnivore/Insectivore","M_Africa","endangered"
"7","Pan_troglodytes",53.7,48.44416667,2225,1916.47,14.05,1.265822785,"diurnal","forest_savanna","both","multimale-multifemale","Non-Folivore","Omnivore/Insectivore","M_Africa","endangered"
"8","Alouatta_caraya",5.38,9.309090909,522.3333333,26.14166667,5.82,1.482678984,"diurnal","forest_savanna","arboreal","multimale-multifemale","Folivore","Other","Neotropics","least concern"
"9","Papio_anubis",16.65,40.525,3384.25,2260,13.2,1.729508197,"diurnal","forest_savanna_shrubland_grassland","terrestrial","multimale-multifemale","Non-Folivore","Omnivore/Insectivore","M_Africa","least concern"
"10","Leontopithecus_rosalia",0.64,5.415,1606,96.1,NA,1.065916399,"diurnal","forest","arboreal","monogamy","Non-Folivore","Other","Neotropics","endangered"
"11","Papio_anubis",16.65,40.525,3384.25,2260,13.2,1.729508197,"diurnal","forest_savanna_shrubland_grassland","terrestrial","multimale-multifemale","Non-Folivore","Omnivore/Insectivore","M_Africa","least concern"
