"","HostCorrectedName_Corbet","ParasiteCorrectedName","Citation","LocationName","TotalPrevalence"
"1","Allenopithecus_nigroviridis","Deltaretrovirus sp.","Ahuka-Mundeke et al. 2017","Mbandaka","0.409"
"2","Alouatta_belzebul","Cebidicola sp.","Stuart et al. 1998","UNKNOWN","NULL"
"3","Alouatta_belzebul","Pseudomonas sp.","Menezes-Costa et al. 2013","Tucurui","0.181"
"4","Alouatta_caraya","Amblyomma sp.","Stuart et al. 1998","ARGENTINA","0.012"
"5","Alouatta_caraya","Chilomastix sp.","Stuart et al. 1998","UNKNOWN","NULL"
"6","Alouatta_caraya","Entamoeba sp.","Stuart et al. 1998","BRAZIL","NULL"
"7","Alouatta_caraya","Mycoplasma sp.","Cubilla et al. 2017","Bela Vista","1"
"8","Alouatta_caraya","Pseudomonas sp.","Menezes-Costa et al. 2013","Chapada dos Guimaraes","0.175"
"9","Alouatta_caraya","Strongyloides sp.","Santa Cruz et al. 2000","San Cayetano","NULL"
"10","Alouatta_caraya","Strongyloides sp.","Santa Cruz et al. 2000","Ituzaingo","NULL"
"11","Alouatta_caraya","Trichomonas sp.","Stuart et al. 1998","BRAZIL","NULL"
"12","Alouatta_palliata","Balantidium sp.","Helenbrook et al. 2015b ","Bilsa","0.094"
"13","Alouatta_palliata","Blastocystis sp.","Helenbrook et al. 2015","Bilsa","0.604"
"14","Alouatta_palliata","Blastocystis sp.","Helenbrook et al. 2015b ","Bilsa","0.604"
"15","Alouatta_palliata","Capillaria sp.","Helenbrook et al. 2015b ","Bilsa","0.781"
"16","Alouatta_palliata","Chilomastix sp.","Stuart et al. 1998","PANAMA","0.12"
"17","Alouatta_palliata","Chilomastix sp.","Helenbrook et al. 2015b ","Bilsa","0.042"
"18","Alouatta_palliata","Cyclospora sp.","Gonzalez-Hernandez 2011","Macuspana","0.029"
"19","Alouatta_palliata","Cyclospora sp.","Helenbrook et al. 2015b ","Bilsa","0.177"
"20","Alouatta_palliata","Enterobius sp.","Helenbrook et al. 2015b ","Bilsa","0.031"
"21","Alouatta_palliata","Giardia sp.","Stuart et al. 1998","PANAMA","0.5"
"22","Alouatta_palliata","Iodamoeba sp.","Helenbrook et al. 2015b ","Bilsa","0.052"
"23","Alouatta_palliata","Retortamonas sp.","Stuart et al. 1998","PANAMA","0.12"
"24","Alouatta_palliata","Strongyloides sp.","Maldonado-Lopez et al. 2014","Guancaste Conservation Area","0.51"
"25","Alouatta_palliata","Strongyloides sp.","Maldonado-Lopez et al. 2014","Guancaste Conservation Area","0.43"
"26","Alouatta_palliata","Strongyloides sp.","Helenbrook et al. 2015b ","Bilsa","0.875"
"27","Alouatta_palliata","Strongyloides sp.","Cristobal-Azkarate et al 2010","Los Tuxtlas","0.917"
"28","Alouatta_palliata","Strongyloides sp.","Cristobal-Azkarate et al 2010","Los Tuxtlas","0.833"
"29","Alouatta_palliata","Strongyloides sp.","Cristobal-Azkarate et al 2010","Los Tuxtlas","1"
"30","Alouatta_palliata","Trichomonas sp.","Stuart et al. 1998","PANAMA","0.75"
"31","Alouatta_seniculus","Balantidium sp.","Stuart et al. 1998","UNKNOWN","NULL"
"32","Alouatta_seniculus","Entamoeba sp.","de Thoisy et al. 2001","Petit Saut","0.583"
"33","Alouatta_seniculus","Enteromonas sp.","de Thoisy et al. 2001","Petit Saut","0.083"
"34","Alouatta_seniculus","Mansonella sp.","de Thoisy et al. 2001","Petit Saut","NULL"
"35","Alouatta_seniculus","Mycoplasma sp.","de Thoisy et al. 2001","Petit Saut","NULL"
"36","Alouatta_seniculus","Spirura sp.","Gilbert K., pers. comm.","UNKNOWN","NULL"
"37","Alouatta_seniculus","Strongyloides sp.","de Thoisy et al. 2001","Petit Saut","0.375"
"38","Alouatta_seniculus","Strongyloides sp.","Phillips et al. 2004","Tampobata Research Center","0.313"
"39","Alouatta_seniculus","Trichostrongylus sp.","de Thoisy et al. 2001","Petit Saut","0.042"
"40","Alouatta_villosa","Ascaris sp.","Kowalzik et al. 2010","Monkey River","NULL"
"41","Alouatta_villosa","Blastocystis sp.","Stoner and Gonzalez Di Pierro 2006","Biosfera Montes Azules","0.65"
"42","Alouatta_villosa","Enterobius sp.","Stoner and Gonzalez Di Pierro 2006","Biosfera Montes Azules","0.02"
"43","Alouatta_villosa","Isospora sp.","Stoner and Gonzalez Di Pierro 2006","Biosfera Montes Azules","0.1"
"44","Alouatta_villosa","Parabronema sp.","Martinez-Mota et al. 2017","Escarcega","0.007"
"45","Alouatta_villosa","Raillietina sp.","Trejo-Macias et al. 2007","Calakmul","0.035"
"46","Alouatta_villosa","Raillietina sp.","Trejo-Macias et al. 2007","Palenque","0.035"
"47","Alouatta_villosa","Raillietina sp.","Trejo-Macias et al. 2007","Montes Azules","0.044"
"48","Alouatta_villosa","Raillietina sp.","Trejo-Macias et al. 2007","MEXICO","0.045"
"49","Alouatta_villosa","Raillietina sp.","Trejo-Macias et al. 2007","Calakmul","0.125"
"50","Alouatta_villosa","Raillietina sp.","Trejo-Macias et al. 2007","Montes Azules","0.067"
