HostCorrectedName,habitat_forest,habitat_savanna,habitat_shrubland,habitat_grassland,habitat_wetlands,habitat_rocky_areas,habitat_desert,total_estrada_species,Centroid_Longitude,Centroid_Latitude,Total_Geographic_Area,Minimum_Longitude,Minimum_Latitude,Maximum_Longitude,Maximum_Latitude,Arthropod,Bacteria,Protozoa,Fungus,Virus,Helminth,NoEntry,Vector,Direct,Indirect,Sexual,Vertical,CloseT,Nonclose,Intermediate,Citation,TotalCount,Mean_Percent_Social_Activity_Time,Min_Social_Activity_Time_Range,Max_Social_Activity_Time_Range,trophic_folivore,trophic_Omnivore,trophic_count,pop_trend,bodymass_kg,femalebodymass_kg,malebodymass_kg,homerange_ha,mean_groupsize,Male.residual,Female.Residual,GCDI,mean_dayrange_meters,locomotion,habitat_count,habitat_category,diel_activity,iucn,realm,mating_system,parasite_type,parasite_type_count,transmission_type,transmission_type_count,lifecycle_type,lifecycle_type_count,Degree_Centrality_Integer,population_density_sqkm_mean,Population.Dens.from.Nunn.unpubl..database,SSD,homerange_mean_m2,d_index,TotalCount_imputed
Allenopithecus_nigroviridis,1,0,0,0,1,0,0,1,18.9019605,0.769194606,13.43741567,15.58714585,-2.271378994,24.30357933,3.781398773,1,0,0,0,3,0,0,0,4,0,2,2,4,0,0,3,4,,,,Non-Folivore,Other,1,,5.3,3.18,6.13,,35,,,,,both,2,forest_wetlands,diurnal,least concern,M_Africa,multimale-multifemale,Arthropod_Virus,2,Sexual_Vertical_CloseT,3,Direct,1,4,,,1.927672956,,,139
Allocebus_trichotis,1,0,0,0,0,0,0,1,49.27534755,-16.45098474,3.626084693,48.2276,-19.18886441,50.48377991,-14.28116441,,,,,,,,,,,,,,,,0,,6,,,Non-Folivore,Omnivore/Insectivore,1,D,0.08,0.084,0.092,25.75,1.592222222,,,,,arboreal,1,forest,nocturnal,vulnerable,Madagascar,monogamy,,0,,0,,0,,,,1.095238095,257500,,
Alouatta_belzebul,1,0,0,0,0,0,0,3,-50.12574055,-5.490543073,109.2296447,-58.6207,-10.52406441,-34.7901,0.367835592,3,1,6,0,3,2,0,9,5,11,0,0,1,3,1,9,10,4.687777778,,,Folivore,Other,1,D,5.823333333,5.51,7.26,33.343,6.5,,,0.446,902.6683333,arboreal,1,forest,diurnal,vulnerable,Neotropics,multimale-multifemale,Arthropod_Bacteria_Protozoa_Virus_Helminth,5,Vector_CloseT_Nonclose_Intermediate,4,Direct_Indirect,2,10,,,1.317604356,333430,1.385386054,148
Alouatta_caraya,1,1,0,0,0,0,0,1,-53.11224722,-17.63712579,261.8868504,-67.5199,-31.11166441,-41.9429,-8.425664408,14,2,32,0,10,27,0,32,33,53,0,0,24,19,17,20,34,5.82,,,Folivore,Other,1,D,5.38,4.33,6.42,26.14166667,9.309090909,0.083,-0.167,0.329,522.3333333,arboreal,2,forest_savanna,diurnal,least concern,Neotropics,multimale-multifemale,Arthropod_Bacteria_Protozoa_Virus_Helminth,5,Vector_CloseT_Nonclose_Intermediate,4,Direct_Indirect,2,34,173.2,159,1.482678984,261416.6667,0.905369888,164
Alouatta_fusca,1,0,0,0,0,0,0,1,-47.52202187,-23.07938339,95.1871843,-55.0012,-32.33656441,-38.144,-12.19436441,3,0,24,0,2,6,0,28,6,30,0,0,4,4,1,11,16,3.333333333,,,Folivore,Other,1,D,5.54,4.35,6.73,15.065,7,,,0.373,655.75,arboreal,1,forest,diurnal,least concern,Neotropics,multimale-multifemale,Arthropod_Protozoa_Virus_Helminth,4,Vector_CloseT_Nonclose_Intermediate,4,Direct_Indirect,2,16,,133,1.547126437,150650,1.497264998,16
Alouatta_palliata,1,0,0,0,0,0,0,1,-83.28730695,9.711646866,46.98237094,-95.5735,-4.475664407,-74.7296,18.71903559,23,5,25,0,5,36,0,19,62,39,0,4,22,48,14,28,34,1,,,Folivore,Other,1,,6.12,5.6554,6.96,43.94333333,13.898,0.061,-0.278,0.305,329.9566667,arboreal,1,forest,diurnal,least concern,Neotropics,multimale-multifemale,Arthropod_Bacteria_Protozoa_Virus_Helminth,5,Vector_Vertical_CloseT_Nonclose_Intermediate,5,Direct_Indirect,2,34,43.165,32.6,1.23068218,439433.3333,0.441118579,150
Alouatta_seniculus,1,1,0,0,0,0,0,5,-61.41223082,0.831197339,224.8274861,-71.8233,-18.45186441,-49.8635,11.56173559,7,1,35,0,6,24,0,35,27,48,0,0,16,21,10,25,45,2.833333333,,,Folivore,Other,2,D,6.285,5.245,6.953333333,16.64,8.684761905,0.005,-0.323,0.297,729.8,arboreal,2,forest_savanna,diurnal,least concern,Neotropics,polygynous,Arthropod_Bacteria_Protozoa_Virus_Helminth,5,Vector_CloseT_Nonclose_Intermediate,4,Direct_Indirect,2,45,87,44.8,1.325707023,166400,1.585521512,164
Alouatta_villosa,1,0,0,0,0,0,0,1,-89.7209069,18.09400189,20.49425719,-92.9767,14.99573559,-86.7365,21.60983559,1,0,11,0,0,49,0,7,24,38,0,0,15,22,30,10,17,2.866666667,,,Folivore,Other,1,D,6.56,5.608,7.505,11.98,6.13375,,,,476.125,arboreal,1,forest,diurnal,endangered,Neotropics,multimale-multifemale,Arthropod_Protozoa_Helminth,3,Vector_CloseT_Nonclose_Intermediate,4,Direct_Indirect,2,17,,,1.338266762,119800,1.219094908,150
Aotus_azarae,1,0.25,0,0,0,0,0,4,-60.1001032,-9.936873099,430.4623884,-78.72308731,-27.25956441,-43.1815,1.588835593,1,0,8,0,0,14,0,6,10,12,0,0,4,5,5,8,22,1.4,,,Non-Folivore,Other,2,D,0.94,1.0775,0.95,6.9825,3.68,,,,568.0625,arboreal,2,forest_savanna,nocturnal,least concern,Neotropics,monogamy,Arthropod_Protozoa_Helminth,3,Vector_CloseT_Nonclose_Intermediate,4,Direct_Indirect,2,22,64,32.7,0.865789474,69825,1.905178138,131
Aotus_trivirgatus,1,0.142857143,0,0,0,0,0,7,-69.60084191,1.648622527,202.251284,-82.5473,-5.557844062,-55.4334,11.47603559,1,3,5,0,2,15,0,12,10,17,0,0,7,10,4,13,17,3,,,Non-Folivore,Other,3,D,0.74,0.8264,0.8662,7.184857143,3.12,-0.135,-0.285,0.072,642,arboreal,2,forest_savanna,nocturnal,least concern,Neotropics,monogamy,Arthropod_Bacteria_Protozoa_Virus_Helminth,5,Vector_CloseT_Nonclose_Intermediate,4,Direct_Indirect,2,17,,29.7,1.048160697,71848.57143,2.122613392,129
Arctocebus_calabarensis,1,0,0,0,0,0,0,2,12.62934404,1.916881388,66.38620402,6.408606581,-4.304560892,18.6498394,7.458749294,0,0,2,0,0,0,0,2,0,2,0,0,0,0,0,1,2,,,,Non-Folivore,Omnivore/Insectivore,1,,0.26,0.306,0.312,10,1,-0.217,-0.105,,,arboreal,1,forest,nocturnal,least concern,M_Africa,dispersed,Protozoa,1,Vector,1,Indirect,1,2,,,1.019607843,100000,,111
Ateles_belzebuth,1,0,0,0,0,0,0,3,-64.51510183,-1.177477567,122.9208899,-78.88415877,-12.24516441,-51.6414,11.13683559,0,1,5,0,0,3,0,2,7,3,0,0,4,6,0,5,8,3.2775,,,Non-Folivore,Other,2,D,7.6475,7.56,8.97,207.0384615,17.44909091,,,,2243,arboreal,1,forest,diurnal,endangered,Neotropics,multimale-multifemale,Bacteria_Protozoa_Helminth,3,Vector_CloseT_Nonclose,3,Direct_Indirect,2,8,17.75,14.6,1.186507937,2070384.615,1.381493031,136
Ateles_fusciceps,1,0,0,0,0,0,0,1,-77.14712654,4.980654275,17.62138808,-80.0878,-1.872364408,-74.485,9.950035592,0,0,3,0,0,10,0,8,4,9,0,0,2,4,1,5,10,20,,,Non-Folivore,Other,1,D,9.03,9.16,8.89,,,,,,1150,arboreal,1,forest,diurnal,endangered,Neotropics,multimale-multifemale,Protozoa_Helminth,2,Vector_CloseT_Nonclose_Intermediate,4,Direct_Indirect,2,10,,,0.969628796,,,136
Ateles_geoffroyi,1,0,0,0,0,0,0,1,-89.28777975,15.84662346,76.22962067,-99.2274,6.840735593,-77.5908,24.48863559,0,0,6,0,2,22,0,17,11,20,0,0,9,11,2,9,12,6.65,,,Non-Folivore,Other,1,D,7.54,7.132,7.45,388.0971429,42.9,-0.126,-0.57,0.228,2229.615,arboreal,1,forest,diurnal,endangered,Neotropics,multimale-multifemale,Protozoa_Virus_Helminth,3,Vector_CloseT_Nonclose_Intermediate,4,Direct_Indirect,2,12,39.5,14.4,1.044587773,3880971.429,1.003008458,136
Ateles_paniscus,1,0,0,0,0,0,0,2,-62.40586086,-6.331450298,275.5102177,-76.4173,-17.48736441,-50.4416,6.895035593,0,1,15,1,3,10,0,23,6,25,0,0,4,7,0,19,16,3.45,,,Non-Folivore,Other,1,D,8.825,8.7,8.95,223.5,31.66666667,-0.03,-0.436,0.226,1977,arboreal,1,forest,diurnal,vulnerable,Neotropics,multimale-multifemale,Bacteria_Protozoa_Fungus_Virus_Helminth,5,Vector_CloseT_Nonclose,3,Direct_Indirect,2,16,,41.2,1.028735632,2235000,1.171960154,136
Avahi_laniger,1,0,0,0,0,0,0,9,48.43075447,-18.04519872,6.136751235,44.5503,-25.06700481,50.36863,-14.08796441,5,2,0,0,2,4,0,2,10,2,0,0,4,8,0,6,11,2.615,,,Folivore,Other,2,D,1.020666667,1.070666667,0.94,2.234,2.128571429,-0.625,-0.649,,527.575,arboreal,1,forest,nocturnal,vulnerable,Madagascar,monogamy,Arthropod_Bacteria_Virus_Helminth,4,Vector_CloseT_Nonclose,3,Direct_Indirect,2,11,,,0.860992908,22340,3.128149956,115
Brachyteles_arachnoides,1,0,0,0,0,0,0,2,-43.93744279,-21.60810421,14.82710787,-49.72412109,-25.15380859,-39.9056,-16.13126441,1,0,5,0,0,8,0,4,9,8,0,0,6,8,1,7,7,1.55,,,Folivore,Other,1,D,8.92,8.235,9.605,221.75,43,-0.403,-0.646,,1303,arboreal,1,forest,diurnal,endangered,Neotropics,multimale-multifemale,Arthropod_Protozoa_Helminth,3,Vector_CloseT_Nonclose_Intermediate,4,Direct_Indirect,2,7,,11.8,1.166363084,2217500,0.775456681,130
Cacajao_calvus,1,0,0,0,0,0,0,1,-72.1689106,-6.392264506,14.89132467,-75.2556,-11.40786441,-65.3577,-1.804364407,0,0,4,0,0,2,0,4,2,4,0,0,1,2,0,6,4,,,,Non-Folivore,Other,1,D,3.17,2.88,3.45,1746.5,33.65,,,0.181,1003.65,arboreal,1,forest,diurnal,vulnerable,Neotropics,multimale-multifemale,Protozoa_Helminth,2,Vector_CloseT_Nonclose,3,Direct_Indirect,2,4,,,1.197916667,17465000,0.212834945,127
